mintime,lat,lon,alt,velocity,heading,vertrate,nic,nac,icao24
2019-09-17 07:01:03.662,35.0711975097656,-117.306126185826,4053.84,81.282152,270,0.65024,9,0,ae0943
2019-09-17 07:01:04.641,35.0711975097656,-117.307135134327,4053.84,81.282152,270,0.65024,9,0.973684210526316,ae0943
2019-09-17 07:01:04.791,35.0711990615069,-117.307147979736,4053.84,81.282152,270,0.65024,9,0,ae0943
2019-09-17 07:01:05.191,35.0711990615069,-117.307548522949,4061.46,81.282152,270,0.65024,9,1,ae0943
2019-09-17 07:01:05.327,35.0711975097656,-117.307527503189,4061.46,81.2595973952289,270,0.635985867182463,9,1,ae0943
2019-09-17 07:01:05.736,35.0711975097656,-117.307975924745,4061.46,81.1917677382334,270,0.593118658929723,9,1,ae0943
2019-09-17 07:01:05.785,35.0711990615069,-117.307949066162,4061.46,81.1836414468085,270,0.587982978723404,9,1,ae0943
2019-09-17 07:01:06.282,35.0711990615069,-117.308464050293,4061.46,81.1012176337847,270,0.535892508059317,9,1,ae0943
2019-09-17 07:01:06.341,35.0711975097656,-117.308480398995,4061.46,81.0914329155384,270,0.529708729851709,9,1,ae0943
2019-09-17 07:01:06.817,35.0711975097656,-117.308872767857,4061.46,81.0124917988394,270,0.479819264990329,9,1,ae0943
2019-09-17 07:01:06.894,35.0711990615069,-117.308864593506,4061.46,80.9997219123146,270,0.4717489103804,9,1,ae0943
2019-09-17 07:01:07.928,35.0711975097656,-117.309937769053,4061.46,80.8282405789813,270,0.363375577047066,9,1,ae0943
2019-09-17 07:01:07.930,35.0711990615069,-117.309951782227,4061.46,80.827908893617,270,0.363165957446809,9,1,ae0943
2019-09-17 07:01:08.294,35.0711975097656,-117.31027408522,4061.46,80.767708,270,0.32512,9,0.977777777777778,ae0943
2019-09-17 07:01:08.371,35.0711990615069,-117.31029510498,4061.46,80.767708,270,0.32512,9,0.0380184331797235,ae0943
2019-09-17 07:01:09.752,35.0711975097656,-117.311507244499,4061.46,80.4717519374038,270.211970493378,0.32512,9,0.577142857142857,ae0943
2019-09-17 07:01:09.850,35.0711990615069,-117.311496734619,4061.46,80.4143188797118,270.2531053614,0.32512,9,0.689142857142857,ae0943
2019-09-17 07:01:10.643,35.0711990615069,-117.312355041504,4061.46,80.2549128420362,270.367275607338,0.182978928919182,9,0.437195715676728,ae0943
2019-09-17 07:01:10.649,35.0711975097656,-117.312348034917,4061.46,80.2549128420362,270.367275607338,0.181079493670886,9,0.443037974683544,ae0943
